r_lam_D,REQ_ExtContStab,REQ_IntContStab,REQ_SystematicC,REQ_AvgRawContrast,REQ_InitStatContrast,ICBE_ExtContStab,ICBE_IntContStab,ICBE_SystematicC,ICBE_AvgRawContrast,ICBE_InitStatContrast,MCBE_ExtContStab,MCBE_IntContStab,MCBE_SystematicC,MCBE_AvgRawContrast,MCBE_InitStatContrast
6.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05034,0.19738,0.07133,2.73214,2.70000
7.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04566,0.19274,0.05627,2.80195,2.77200
8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04431,0.18028,0.05747,3.35860,3.33200
19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05735,0.19693,0.10749,5.90061,5.87600
# BDK Worksheet 250620 - WFOV John K best model 2025-06-16,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
