r_lam_D,r_as,I,contrast,coreThruput,PSFpeak,area_sq_arcsec,occTrans
6,0.30114836290837177,8.445e-12,5.27813e-09,0.0262,0.0016,0.002234527,0.1887
6.2,0.3111866416719842,7.02e-12,3.9e-09,0.0295,0.0018,0.002234527,0.2129
6.4,0.3212249204355966,6.12e-12,3.22105e-09,0.0315,0.0019,0.002234527,0.2276
6.6,0.33126319919920894,4.845e-12,2.4225e-09,0.0327,0.002,0.002234527,0.2372
6.8,0.34130147796282134,4.23e-12,2.01429e-09,0.0341,0.0021,0.002234527,0.2475
7,0.35133975672643375,4.17e-12,1.89545e-09,0.0359,0.0022,0.002234527,0.2605
7.2,0.36137803549004616,4.335e-12,1.88478e-09,0.0377,0.0023,0.002234527,0.2745
7.4,0.37141631425365856,4.695e-12,1.95625e-09,0.0393,0.0024,0.002234527,0.286
7.6,0.3814545930172709,4.86e-12,1.944e-09,0.0403,0.0025,0.002234527,0.2928
7.8,0.3914928717808833,5.07e-12,2.028e-09,0.0419,0.0025,0.00233168,0.2953
8,0.40153115054449573,5.175e-12,2.07e-09,0.042,0.0025,0.00233168,0.2958
8.2,0.4115694293081081,5.16e-12,2.064e-09,0.0421,0.0025,0.00233168,0.2965
8.4,0.42160770807172054,5.085e-12,2.034e-09,0.0424,0.0025,0.00233168,0.2984
8.6,0.4316459868353329,4.905e-12,1.88654e-09,0.0415,0.0026,0.002234527,0.3014
8.8,0.44168426559894536,4.605e-12,1.77115e-09,0.0418,0.0026,0.002234527,0.3043
9,0.4517225443625577,4.305e-12,1.65577e-09,0.0421,0.0026,0.002234527,0.3065
9.2,0.46176082312617006,4.08e-12,1.56923e-09,0.0436,0.0026,0.00233168,0.3077
9.4,0.4717991018897825,4.02e-12,1.54615e-09,0.0437,0.0026,0.00233168,0.3082
9.6,0.4818373806533949,4.065e-12,1.56346e-09,0.0437,0.0026,0.00233168,0.3083
9.8,0.4918756594170073,4.2e-12,1.61538e-09,0.0437,0.0026,0.00233168,0.3083
10,0.5019139381806197,4.425e-12,1.70192e-09,0.0437,0.0026,0.00233168,0.3083
10.2,0.511952217,4.74e-12,1.82308e-09,0.0437,0.0026,0.00233168,0.3083
10.4,0.5219904957078445,4.98e-12,1.91538e-09,0.0424,0.0026,0.002234527,0.3084
10.6,0.5320287744714568,4.935e-12,1.89808e-09,0.0424,0.0026,0.002234527,0.3084
10.8,0.5420670532350693,4.935e-12,1.89808e-09,0.0424,0.0026,0.002234527,0.3085
11,0.5521053319986816,4.785e-12,1.84038e-09,0.0424,0.0026,0.002234527,0.3085
11.2,0.562143611,4.695e-12,1.80577e-09,0.0424,0.0026,0.002234527,0.3085
11.4,0.5721818895259064,4.68e-12,1.8e-09,0.0425,0.0026,0.002234527,0.3085
11.6,0.5822201682895188,4.695e-12,1.80577e-09,0.0425,0.0026,0.002234527,0.3085
11.8,0.5922584470531312,4.59e-12,1.76538e-09,0.0425,0.0026,0.002234527,0.3086
