MY_COLNAME,DB_COLNAME,UNITS,NEW_KEY,DESCRIPTION,TABLE,SQL_DATATYPE,INDEX,FOREIGNKEY
HIP Name,hip_name,,False,HIPPARCOS catalog name,Stars,TEXT,False,
sy_dnum,sy_dnum,,True,Number of disks,Stars,BIGINT,False,
sy_habzone_rin,sy_habzone_rin,arcseconds,True,Inner edge of the habitable zone as defined by the science gap list (f 0.95-1.67 au scaled by stellar luminosity). (arcseconds),Stars,DOUBLE,False,
sy_habzone_rout,sy_habzone_rout,arcseconds,True,Outer edge of the habitable zone as defined by the science gap list (f 0.95-1.67 au scaled by stellar luminosity). (arcseconds),Stars,DOUBLE,False,
disk_id,disk_id,,True,Unique disk id,Disks,INT,True,
MAIN_ID,st_id,,True,Star ID,Disks,INT,False,Stars(st_id)
disk_irexcess,disk_irexcess,,True,IR excess (Ld/Lstar) derived from the SED,Disks,DOUBLE,False,
disk_wiseexcess,disk_wiseexcess,,True,W1-W4 as indicator of the amount of the IR excess comprised of warm dust,Disks,DOUBLE,False,
disk_scatt,disk_scatt,,True,Description of resolved Scattered light detection (if any). Include relevant references.,Disks,TEXT,False,
disk_thermal,disk_thermal,,True,Description of Resolved Thermal Emission detection (if any). Include relevant references.,Disks,TEXT,False,
disk_hotdust,disk_hotdust,,True,Desciption of Hot dust detection (if any) with VLTI or CHARA in H through K bands.,Disks,TEXT,False,
disk_warmdust,disk_warmdust,,True,Desciption of Warm Dust detection (if any) with LBTI (HOSTS),Disks,TEXT,False,
disk_incl,disk_incl,degrees,True,Observed Disk Inclination (degrees),Disks,DOUBLE,False,
disk_pa,disk_pa,degrees,True,Observed Disk PA (degrees),Disks,DOUBLE,False,
disk_extent,disk_extent,arcseconds,True,Observed Disk size (outer radius) (arcseconds),Disks,DOUBLE,False,
disk_obs_ref,disk_obs_ref,,True,"Disk fit reference (applies to inclination, PA, size above)",Disks,TEXT,False,
disk_temp_phot,disk_temp_phot,Kelvin,True,Photometric temperature estimate (single component model) (Kelvin),Disks,DOUBLE,False,
disk_excess_phot,disk_excess_phot,,True,Photometric L_IR/L_* (single component model),Disks,DOUBLE,False,
disk_assoc_notes,disk_assoc_notes,,True,Notes should include any information on binarity; on stellar age; and on any known membership in a stellar association.,Disks,TEXT,False,
disk_meas_polfrac,disk_meas_polfrac,,True,Maximum measured polarization fraction,Disks,DOUBLE,False,
disk_meas_polref,disk_meas_polref,,True,Polarization description and reference,Disks,TEXT,False,
disksed_numbelts,disksed_numbelts,,True,number of belts inferred by SED modeling. Modeled after Chrsitine Chen’s Spitzer/SED fits but not exclusive to Chen. Also applies to next 4 keywords.,Disks,INT,False,
disksed_warm_temp,disksed_warm_temp,Kelvin,True,Warm T_gr  (Kelvin),Disks,DOUBLE,False,
disksed_warm_excess,disksed_warm_excess,,True,Warm L_IR/L_* ,Disks,DOUBLE,False,
disksed_cold_temp,disksed_cold_temp,Kelvin,True,Cold T_gr  (Kelvin),Disks,DOUBLE,False,
disksed_cold_excess,disksed_cold_excess,,True,Cold L_IR/L_* ,Disks,DOUBLE,False,
irs_silicates,irs_silicates,,True,Silicate detection in Spitzer/IRS?,Disks,BOOLEAN,False,
disk_inner_rad,disk_inner_rad,arcseconds,True,inferred disk inner edge radius from CPP modeling (arcseconds),Disks,DOUBLE,False,
disk_ansae_sb,disk_ansae_sb,Jy/pixel,True,inferred ansa surface brightness contrast at above location from CPP modeling (Jy/pixel),Disks,DOUBLE,False,
sy_b1sb,sy_b1sb,Jy/pixel,True,Roman-Coronagraph Band 1 Surface Brightness (Jy/pixel),Disks,DOUBLE,False,
sy_b1sberr1,sy_b1sberr1,Jy/pixel,True,Roman-Coronagraph Band 1 Surface Brightness upper unc (Jy/pixel),Disks,DOUBLE,False,
sy_b1sberr2,sy_b1sberr2,Jy/pixel,True,Roman-Coronagraph Band 1 Surface Brightness lower unc (Jy/pixel),Disks,DOUBLE,False,
sy_b2sb,sy_b2sb,Jy/pixel,True,Roman-Coronagraph Band 2 Surface Brightness (Jy/pixel),Disks,DOUBLE,False,
sy_b2sberr1,sy_b2sberr1,Jy/pixel,True,Roman-Coronagraph Band 2 Surface Brightness upper unc (Jy/pixel),Disks,DOUBLE,False,
sy_b2sberr2,sy_b2sberr2,Jy/pixel,True,Roman-Coronagraph Band 2 Surface Brightness lower unc (Jy/pixel),Disks,DOUBLE,False,
sy_b3sb,sy_b3sb,Jy/pixel,True,Roman-Coronagraph Band 3 Surface Brightness (Jy/pixel),Disks,DOUBLE,False,
sy_b3sberr1,sy_b3sberr1,Jy/pixel,True,Roman-Coronagraph Band 3 Surface Brightness upper unc (Jy/pixel),Disks,DOUBLE,False,
sy_b3sberr2,sy_b3sberr2,Jy/pixel,True,Roman-Coronagraph Band 3 Surface Brightness lower unc (Jy/pixel),Disks,DOUBLE,False,
sy_b4sb,sy_b4sb,Jy/pixel,True,Roman-Coronagraph Band 4 Surface Brightness (Jy/pixel),Disks,DOUBLE,False,
sy_b4sberr1,sy_b4sberr1,Jy/pixel,True,Roman-Coronagraph Band 4 Surface Brightness upper unc (Jy/pixel),Disks,DOUBLE,False,
sy_b4sberr2,sy_b4sberr2,Jy/pixel,True,Roman-Coronagraph Band 4 Surface Brightness lower unc (Jy/pixel),Disks,DOUBLE,False,
