MY_COLNAME,DB_COLNAME,TABLE,UNITS,NEW_KEY,DESCRIPTION,SQL_DATATYPE,INDEX,FOREIGNKEY
main_id,,Stars,,TRUE,Primary Simbad identifier,,,
ra,ra,Stars,,,,,,
dec,dec,Stars,,,,,,
ra_err,,Stars,deg,TRUE,RA decimal unc,,,
dec_err,,Stars,deg,TRUE,Dec decimal unc,,,
coo_err_angle,,Stars,deg,TRUE,Coordinate error angle deg,,,
coo_qual,,Stars,,TRUE,Coordinate quality,,,
coo_reflink,,Stars,,TRUE,Coordinate reference,,,
sy_pmra,sy_pmra,Stars,,,,,,
sy_pmdec,sy_pmdec,Stars,,,,,,
sy_pmraerr1,sy_pmraerr1,Stars,,,,,,
sy_pmraerr2,sy_pmraerr2,Stars,,,,,,
sy_pmdecerr2,sy_pmdecerr2,Stars,,,,,,
sy_pmdecerr1,sy_pmdecerr1,Stars,,,,,,
sy_pm_err_angle,,Stars,deg,TRUE,Proper motion error angle deg,,,
sy_pm_qual,,Stars,,TRUE,Proper motion quality,,,
sy_pm_reflink,,Stars,,TRUE,Proper motion reference,,,
sy_plx,sy_plx,Stars,,,,,,
sy_plxerr1,sy_plxerr1,Stars,,,,,,
sy_plxerr2,sy_plxerr2,Stars,,,,,,
sy_plx_qual,,Stars,,TRUE,Parallax quality,,,
sy_plx_reflink,st_radv,Stars,,TRUE,Parallax reference,,,
st_radv,st_radv,Stars,,,,,,
radverr1,radverr1,Stars,,,,,,
radverr2,radverr2,Stars,,,,,,
st_radv_bibcode,radv_reflink,Stars,,,,,,
st_otype,,Stars,,TRUE,Primary Simbad Object Type,,,
st_otypes,,Stars,,TRUE,All Simbad-known object types,,,
spectype,spectype,Stars,,,,,,
spectype_reflink,spectype_reflink,Stars,,,,,,
sy_ujmag,,Stars,,TRUE,U (Johnson) Magnitude,,,
sy_ujmagerr1,,Stars,,TRUE,U (Johnson) Magnitude upper unc,,,
sy_ujmagerr2,,Stars,,TRUE,U (Johnson) Magnitude lower unc,,,
sy_bmag,sy_bmag,Stars,,,,,,
sy_bmagerr1,sy_bmagerr1,Stars,,,,,,
sy_bmagerr2,sy_bmagerr2,Stars,,,,,,
sy_vmag,sy_vmag,Stars,,,,,,
sy_vmagerr1,sy_vmagerr1,Stars,,,,,,
sy_vmagerr2,sy_vmagerr2,Stars,,,,,,
sy_rcmag,,Stars,,TRUE,R (Cousins) Magnitude,,,
sy_rcmagerr1,,Stars,,TRUE,R (Cousins) Magnitude upper unc,,,
sy_rcmagerr2,,Stars,,TRUE,R (Cousins) Magnitude lower unc,,,
sy_icmag,sy_icmag,Stars,,,,,,
sy_icmagerr1,sy_icmagerr1,Stars,,,,,,
sy_icmagerr2,sy_icmagerr2,Stars,,,,,,
sy_jmag,sy_jmag,Stars,,,,,,
sy_jmagerr1,sy_jmagerr1,Stars,,,,,,
sy_jmagerr2,sy_jmagerr2,Stars,,,,,,
sy_hmag,sy_hmag,Stars,,,,,,
sy_hmagerr1,sy_hmagerr1,Stars,,,,,,
sy_hmagerr2,sy_hmagerr2,Stars,,,,,,
sy_kmag,sy_kmag,Stars,,,,,,
sy_kmagerr1,sy_kmagerr1,Stars,,,,,,
sy_kmagerr2,sy_kmagerr2,Stars,,,,,,
sy_umag,sy_umag,Stars,,,,,,
sy_gmag,sy_gmag,Stars,,,,,,
sy_rmag,sy_rmag,Stars,,,,,,
sy_imag,sy_imag,Stars,,,,,,
sy_zmag,sy_zmag,Stars,,,,,,
sy_gaiamag,sy_gaiamag,Stars,,,,,,
sy_gaiamagerr1,sy_gaiamagerr1,Stars,,,,,,
