MY_COLNAME,DB_COLNAME,UNITS,NEW_KEY,DESCRIPTION,TABLE,SQL_DATATYPE,INDEX,FOREIGNKEY
sed_id,sed_id,,TRUE,Unique SED id,SED,INT,TRUE,
MAIN_ID,st_id,,TRUE,Star ID,SED,INT,,Stars(st_id)
sy_bfluxden,sy_bfluxden,Jy,TRUE,B (Johnson) Flux Density (Jy),SED,DOUBLE,,
sy_bfluxdenerr1,sy_bfluxdenerr1,Jy,TRUE,B (Johnson) Flux DensityUpper Unc (Jy),SED,DOUBLE,,
sy_bfluxdenerr2,sy_bfluxdenerr2,Jy,TRUE,B (Johnson) Flux DensityLower Unc (Jy),SED,DOUBLE,,
sy_vfluxden,sy_vfluxden,Jy,TRUE,V (Johnson) Flux Density (Jy),SED,DOUBLE,,
sy_vfluxdenerr1,sy_vfluxdenerr1,Jy,TRUE,V (Johnson) Flux Density Upper Unc (Jy),SED,DOUBLE,,
sy_vfluxdenerr2,sy_vfluxdenerr2,Jy,TRUE,V (Johnson) Flux Density Lower Unc (Jy),SED,DOUBLE,,
sy_rfluxden,sy_rfluxden,Jy,TRUE,R (Johnson) Flux Density (Jy),SED,DOUBLE,,
sy_rfluxdenerr1,sy_rfluxdenerr2,Jy,TRUE,R (Johnson) Flux Density Upper Unc (Jy),SED,DOUBLE,,
sy_rfluxdenerr2,sy_rfluxdenerr3,Jy,TRUE,R (Johnson) Flux Density Lower Unc (Jy),SED,DOUBLE,,
sy_ifluxden,sy_ifluxden,Jy,TRUE,I (Johnson) Flux Density (Jy),SED,DOUBLE,,
sy_ifluxdenerr1,sy_ifluxdenerr2,Jy,TRUE,I (Johnson) Flux Density Upper Unc (Jy),SED,DOUBLE,,
sy_ifluxdenerr2,sy_ifluxdenerr3,Jy,TRUE,I (Johnson) Flux Density Lower Unc (Jy),SED,DOUBLE,,
sy_jfluxden,sy_jfluxden,Jy,TRUE,J (2MASS) Flux Density (Jy),SED,DOUBLE,,
sy_jfluxdenerr1,sy_jfluxdenerr1,Jy,TRUE,J (2MASS) Flux Density Upper Unc (Jy),SED,DOUBLE,,
sy_jfluxdenerr2,sy_jfluxdenerr2,Jy,TRUE,J (2MASS) Flux Density Lower Unc (Jy),SED,DOUBLE,,
sy_hfluxden,sy_hfluxden,Jy,TRUE,H (2MASS) Flux Density (Jy),SED,DOUBLE,,
