oid,main_id,st_ids,ra,dec,ra_err,dec_err,coo_err_angle,coo_qual,coo_reflink,sy_pmra,sy_pmdec,sy_pmraerr1,sy_pmraerr2,sy_pmdecerr2,sy_pmdecerr1,sy_pm_err_angle,sy_pm_qual,sy_pm_reflink,sy_plxerr2,sy_plx,sy_plxerr1,sy_plx_qual,radverr2,sy_plx_reflink,st_radv,radverr1,st_radv_bibcode,st_otype,st_otypes,spectype,spectype_reflink,sy_ujmag,sy_bmag,sy_vmag,G,sy_rcmag,sy_icmag,sy_jmag,sy_hmag,sy_kmag,sy_umag,sy_gmag,sy_gaiamagerr2,sy_jmagerr2,sy_hmagerr2,sy_kmagerr2,sy_bmagerr2,sy_vmagerr2,sy_ujmagerr2,sy_rcmagerr2,sy_icmagerr2,sy_rmag,sy_imag,sy_zmag,sy_gaiamagerr1,sy_jmagerr1,sy_hmagerr1,sy_kmagerr1,sy_bmagerr1,sy_vmagerr1,sy_ujmagerr1,sy_rcmagerr1,sy_icmagerr1,st_psfgrade,hd_id,hip_id,sy_plxh2err2,hr_id,sy_plxg3err2,wds_id,tic_id,sbc9_id,gaiadr3_id,gaiadr2_id,sy_ruwe2015.5,sy_dvtk19,sy_dvtk19err,sy_dvtpak19,sy_dvtpak19err,sy_plxh2,sy_plxh2err1,sy_plxg3,sy_plxg3err1,sy_snrpmahg1,sy_binhg1,sy_pmrah2g2,sy_pmrah2g2err,sy_pmdeh2g2,sy_pmdeh2g2err,sy_pmarah2g2,sy_pmarah2g2err,sy_pmadeh2g2,sy_pmadeh2g2err,sy_snrpmah2g2,sy_binh2g2,sy_pmrah2eg3a,sy_pmrah2eg3aerr,sy_pmdeh2eg3a,sy_pmarah2eg3a,sy_pmarah2eg3aerr,sy_pmadeh2eg3a,sy_pmadeh2eg3aerr,sy_snrpmah2eg3a,sy_binh2eg3a,sy_pmrah2eg3b,sy_pmrah2eg3berr,sy_pmdeh2eg3b,sy_pmdeh2eg3berr,st_ldderr2,sy_pmarah2eg3b,sy_pmarah2eg3berr,sy_pmadeh2eg3b,sy_pmadeh2eg3berr,sy_snrpmaH2eg3b,sy_binh2eg3b,sy_dvtk22,sy_dvtk22err,sy_dvtpak22,sy_dvtpak22err,st_uddmeaserr2,st_k22m1,st_k22M1err,st_lddmeaserr2,st_k22m1_reflink,st_ldd,st_ldderr1,ra2016err2,st_lddchi,dec2016err2,st_uddb,pmra2016err2,st_uddv,pmdec2016err2,st_uddr,sy_plx2016err2,st_uddi,st_radv2016err2,st_uddj,st_uddh,st_uddk,ra2015.5err2,st_uddmeas,dec2015.5err2,st_lddmeas,pmra2015.5err2,st_uddmeaserr1,pmdec2015.5err2,st_uddmeasband,sy_plx2015.5err2,st_uddmeasreflink,st_radv2015.5err2,st_lddmeaserr1,st_lddmeasband,st_gprpolfracerr2,st_lddmeasreflink,st_gprpolpaerr2,ra2016,ra2016err1,dec2016,st_rpolfracerr2,dec2016err1,st_rpolpaerr2,pmra2016,pmra2016err1,st_upolfracerr2,pmdec2016,st_upolpaerr2,pmdec2016err1,sy_plx2016,st_bpolfracerr2,sy_plx2016err1,st_bpolpaerr2,st_radv2016,st_radv2016err1,st_vpolfracerr2,sy_gaiadr3mag,st_vpolpaerr2,sy_ruwe2016,ra2015.5,st_unkpolfracerr2,ra2015.5err1,st_unkpolpaerr2,dec2015.5,dec2015.5err1,pmra2015.5,pmra2015.5err1,pmdec2015.5,pmdec2015.5err1,sy_plx2015.5,sy_plx2015.5err1,st_radv2015.5,st_radv2015.5err1,sy_gaiamag,st_gprpolfrac,st_gprpolfracerr1,st_gprpolpa,st_gprpolpaerr1,st_gprpolfrac_reflink,st_polcatalog,st_rpolfrac,st_rpolfracerr1,st_rpolpa,st_rpolpaerr1,st_rpolfrac_reflink,st_upolfrac,st_upolfracerr1,st_upolpa,st_upolpaerr1,st_upolfrac_reflink,st_bpolfrac,st_bpolfracerr1,st_bpolpa,st_bpolpaerr1,st_bpolfrac_reflink,st_vpolfrac,st_vpolfracerr1,st_vpolpa,st_vpolpaerr1,st_vpolfrac_reflink,st_unkpolfrac,st_unkpolfracerr1,st_unkpolpa,st_unkpolpaerr1,st_unkpolfrac_reflink,sy_caltype,sy_excampass
1447433,* alf Peg,Gaia DR3 2816504901198512768|TIC 217777441|PLX 5587|* alf Peg|*  54 Peg|AAVSO 2259+14B|AG+14 2576|BD+14  4926|FK5  871|GC 32149|GCRV 14477|GEN# +1.00218045|HD 218045|HGAM   1114|HIC 113963|HIP 113963|HR  8781|IRAS 23022+1456|IRC +10526|JP11  3581|N30 5074|NAME Markab|PMC 90-93   614|PPM 142158|ROT  3360|SAO 108378|SKY# 43805|SRS  30871|TD1 29586|UBV   19775|UBV M  26811|uvby98 100218045|2MASS J23044565+1512191|ALS 16176|PLX 5587.00|TYC 1711-2475-1|WEB 20238,346.1902227,15.20526715,1.4971828,1.4043148,90,A,2007A&A...474..653V,60.4,-41.3,0.17,0.17,0.16,0.16,0,A,2007A&A...474..653V,0.19,24.46,0.19,A,0.8,2007A&A...474..653V,-2.7,0.8,2006AstL...32..759G,PM*,*|IR|NIR|PM*|UV|V*,A0IV,1995ApJS...99..135A,2.380000114,2.440000057,2.480000019,2.503659964,2.470000029,2.5,2.50999999,2.519999981,2.50999999,,,0.008272,,,,,,,,,,,,0.008272,,,,,,,,,C,218045,113963,0.19,8781,,,217777441,,Gaia DR3 2816504901198512768,,,,,,,24.46,0.19,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.093032,,,,,,,,,,,0.066,,,0.066,,0.898625,0.093032,0.52598566,0.0735022,1.2877196,0.857525,,0.863558,,0.871313,,0.877543,,0.883824,0.887326,0.889131,,1.039,,1.052,,0.066,,R,,2019ApJ...873...91G,,0.066,R,,2019ApJ...873...91G,,346.1905068,0.52598566,15.20508298,,1.2877196,,,,,,,,,,,,,,,2.5036576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RefStar,TRUE
799866,* eps Ori,HIP 26311|1RXS J053619.2-011312|TIC 427451176|2MASS J05361280-0112070|PLX 1283|* eps Ori|*  46 Ori|2E  1411|AG-01  596|BD-01   969|CCDM J05363-0112A|CEL    852|CSI-01   969  1|EM* MWC  504|FK5  210|GC  6960|GCRV  3454|GEN# +1.00037128|HD  37128|HGAM    449|HIC  26311|HR  1903|IDS 05311-0116 A|IRAS 05336-0113|IRC +00079|JP11  1181|MCW  342|N30 1204|NAME Alnilam|PMC 90-93   151|PPM 175945|RAFGL 4428S|ROT   885|SAO 132346|SKY#  9067|TD1  4963|UBV    5563|UBV M  11224|V* eps Ori|WH 328|[HFE83]  386|[SC93b] 326|ALS 14791|PLX 1283.00|1E 0533.6-0113|1RXS J053612.8-011201|2E 0533.6-0113|EUVE J0536-01.1|[KSP2003] J053612.85-011208.3|WDS J05362-0112A|TYC 4766-2450-1|Ced  55h|uvby98 100037128|WEB  5173,84.05338894,-1.201919136,3.6897864,1.6733218,90,A,2007A&A...474..653V,1.44,-0.78,0.42,0.42,0.19,0.19,0,A,2007A&A...474..653V,0.45,1.65,0.45,A,0.8,2007A&A...474..653V,27.3,0.8,2006AstL...32..759G,s*b,*|**|Em*|IR|ISM|NIR|Pu*|UV|V*|X|s*b,B0Ia,2024A&A...690A.176N,0.479999989,1.50999999,1.690000057,,1.75999999,1.929999948,2.069999933,2.069999933,2.160000086,,,,,,,,,,,,,,,,,,,,,,,,B,37128,26311,,1903,,J05362-0112A,427451176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017,,,0.017,,,,,,,,,,,,,,,,,,,0.631,,0.66,,0.017,,4430A,,2020NatAs...4.1164A,,0.017,4430A,,2020NatAs...4.1164A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RefStar,TRUE
1035794,* zet Pup,HIP 39429|Gaia DR3 5534788672055388032|TIC 133422778|2MASS J08033506-4000112|* zet Pup|2E  1910|ALS   949|CD-39  3939|CEL   2154|CGO 179|CMC  198752|CPC 18  3433|CPD-39  2011|EM* CDS  710|EUVE J0803-40.0|FK5  306|GC 10947|GCRV  5359|GEN# +1.00066811|GOS G255.98-04.71 01|GSC 07663-04093|HD  66811|HIC  39429|HR  3165|IRAS 08018-3951|JP11  1626|LS  949|MCW  547|N30 1854|PMC 90-93   223|PPM 312524|ROT  1295|SACS 175|SAO 198752|SKY# 15171|SRS  30306|TD1 11723|TYC 7663-4093-1|UBV    7751|UBV M  13965|[B10]  2141|[HJ56] 111|uvby98 100066811|1ES 0801-39.8|2E 0801.8-3951|NAME Naos|EQ 0801-39.8|[BVP2003] S2|1RXS J080335.8-400110|MOST 0801-398|V* zet Pup|2XMM J080335.0-400011|UCAC4 250-023940|WEB  7714,120.8960314,-40.0031478,0.7915531,0.7045566,90,A,2007A&A...474..653V,-29.71,16.68,0.08,0.08,0.09,0.09,0,A,2007A&A...474..653V,0.1,3.01,0.1,A,2.9,2007A&A...474..653V,-23.9,2.9,2006AstL...32..759G,BY*,*|BY*|Em*|IR|NIR|Pu*|Rad|UV|V*|X,O4I(n)fp,2014ApJS..211...10S,0.889999986,1.980000019,2.25,2.254290104,2.359999895,2.579999924,2.75999999,2.819999933,2.900000095,,,0.009032,,,,,,,,,,,,0.009032,,,,,,,,,C,66811,39429,0.1,3165,,,133422778,,Gaia DR3 5534788672055388032,,,,,,,3.01,0.1,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.03,,,,0.60490316,,0.9490811,,,,,,,,,,,,,0.41,,0.42,,0.03,,4430A,,1974MNRAS.167..121H,,0.03,4430A,9.00E-05,1974MNRAS.167..121H,0.7,120.8958571,0.60490316,-40.00307351,,0.9490811,,,,,,,,,,,,,,,2.2542944,,,,,,,,,,,,,,,,,,0.00389,9.00E-05,93.4,0.7,2024MNRAS.529..374B,2024MNRAS.529..374B,,,,,,,,,,,,,,,,,,,,,,,,,,RefStar,TRUE
168281,* del Cas,GJ 58.1|HIP 6686|Gaia DR3 510204838759030144|TIC 54995745|* del Cas|PLX  287|ASCC  106973|LSPM J0125+6014|2MASS J01254889+6014070|USNO-B1.0 1502-00052721|*  37 Cas|AG+59  128|BD+59   248|CCDM J01259+6014A|CEL    139|CSI+59   248  1|FK5   48|GC  1715|GCRV   805|GEN# +1.00008538|HD   8538|HIC   6686|HR   403|IDS 01193+5943 A|IRAS 01225+5958|IRC +60050|IRCO  2978|JP11   494|LTT 10509|N30  290|NLTT  4718|PMC 90-93    34|PPM  12969|ROT   202|SAO  22268|SKY#  2155|TD1   800|UBV    1491|UBV M   8159|V* del Cas|[HFE83]   75|PLX  287.00|WDS J01258+6014A|** BUP   19A|NAME Ruchbah|TYC 4031-3289-1|uvby98 100008538|WEB  1460|Gaia DR2 510204838754613632,21.45396446,60.23528403,0.08,0.08,90,A,2007A&A...474..653V,296.57,-49.22,0.11,0.11,0.08,0.08,90,A,2007A&A...474..653V,0.14,32.81,0.14,A,1.78,2007A&A...474..653V,6.7,1.78,2007AN....328..889K,EB*,*|**|EB*|IR|NIR|PM*|UV|V*,A5IV,1989ApJS...70..623G,2.930000067,2.809999943,2.680000067,2.680530071,2.529999971,2.440000057,2.339999914,2.367000103,2.25,,,0.003883,0.26,0.186,0.28,0.007,0.009,0.01,,,,,,0.003883,0.26,0.186,0.28,0.007,0.009,0.01,,,B,8538,6686,0.14,403,0.459,J01258+6014A,54995745,,Gaia DR3 510204838759030144,Gaia DR2 510204838754613632,1.423,335.28,178.5,58.47,23.79,32.81,0.14,32.06,0.459,,,296.01,0.016,-48.97,0.02,2.077,0.853,1.274,0.977,1.88,0,296.062,0.008,0.009,0.508,0.11,-0.348,0.08,4.51,1,296.055,0.007,-48.89,0.009,0.120786,0.396,0.277,-0.212,0.364,0.98,0,66.39,67.66,118.19,40.33,,2.66,0.13,,G00,1.262925,0.120786,0.22191909,0.0230093,0.23417427,1.189116,0.27711236,1.198913,0.3643563,1.213836,0.4002736,1.224876,,1.236391,1.242836,1.245671,0.463291518,,0.473792506,,0.78891799,,0.904136004,,0.629706114,,,,,,,,21.45661246,0.22191909,60.23506761,,0.23417427,,296.4200796,0.27711236,,-49.12702187,,0.3643563,32.02972419,,0.4002736,,,,,2.6805298,,4.49161,21.45652902,,0.463291518,,60.23507386,0.473792506,298.1749488,0.78891799,-47.62073329,0.904136004,34.42875915,0.629706114,,,2.5219543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RefStar,TRUE
830758,* kap Ori,HIP 27366|Gaia DR3 3011968416163350272|TIC 66651575|2MASS J05474538-0940105|PLX 1330|*  53 Ori|* kap Ori|2E  1562|AAVSO 0543-09|BD-09  1235|CEL    976|CSV 100683|FK5  220|GC  7264|GCRV  3603|GEN# +1.00038771|GSC 05351-00760|HD  38771|HGAM    477|HIC  27366|HR  2004|IRAS 05453-0941|IRC -10098|JP11  1262|KMS 121|MCW  363|N30 1242|NAME Saiph|NSV  2641|PMC 90-93   158|PPM 188455|ROT   929|SAO 132542|SKY#  9544|SV* ZI   484|TD1  5371|TYC 5351-760-1|UBV    5932|UBV M  11510|WH 507|[HFE83]  401|[SC93b] 444|uvby98 100038771|ALS 14795|PLX 1330.00|1E 0545.4-0940|1RXS J054745.2-094013|2E 0545.3-0941|WEB  5378|EUVE J0547-09.6,86.93912017,-9.669604919,0.18,0.13,90,A,2007A&A...474..653V,1.46,-1.28,0.17,0.17,0.13,0.13,0,A,2007A&A...474..653V,0.22,5.04,0.22,A,2,2007A&A...474..653V,20.5,2,1979IAUS...30...57E,s*b,*|IR|NIR|UV|V*|X|s*b,B0.5Ia,2024A&A...690A.176N,0.870000005,1.879999995,2.059999943,2.077830076,2.089999914,2.269999981,2.470000029,2.686000109,2.599999905,,,0.005736,,0.218,,,,,,,,,,0.005736,,0.218,,,,,,,A,38771,27366,,2004,,,66651575,,Gaia DR3 3011968416163350272,,51.245,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,0.7024891,,0.6478961,,,,,,,,,,,,,0.44,,,,0.03,,4430A,,1974MNRAS.167..121H,,,,,,,86.93912853,0.7024891,-9.669607138,,0.6478961,,,,,,,,,,,,,,,2.0778263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RefStar,TRUE
895236,* bet CMa,HIP 30324|TIC 34590771|PLX 1481|*   2 CMa|* bet CMa|1RXS J062242.0-175726|2E  1637|2RE J0622-175|2RE J062240-175711|BD-17  1467|CCDM J06227-1757A|CEL   1207|CSI-17  1467  1|FK5  243|GC  8223|GCRV  4051|GEN# +1.00044743|HD  44743|HGAM    524|HIC  30324|HR  2294|IDS 06183-1755 A|IRC -20092|JP11  1375|MCW  426|N30 1376|NAME Mirzam|PMC 90-93   175|PPM 217099|RE J0622-175|RE J062240-175703|ROT  1027|SACS 140|SAO 151428|SKY# 10875|SRS  30243|TD1  6953|UBV    6391|UBV M  12037|V* bet CMa|ALS 15801|PLX 1481.00|2E 0620.5-1755|2EUVE J0622-17.9|EUVE J0622-17.9|RX J0622.7-1757|WDS J06227-1757A|TYC 5938-2918-1|IRAS 06204-1755|AKARI-IRC-V1 J0622419-175721|2MASS J06224199-1757215|uvby98 100044743|WEB  6031,95.67493897,-17.95591871,0.15,0.15,90,A,2007A&A...474..653V,-3.23,-0.78,0.19,0.19,0.2,0.2,0,A,2007A&A...474..653V,0.22,6.62,0.22,A,0.5,2007A&A...474..653V,33.7,0.5,2006AstL...32..759G,bC*,*|**|IR|NIR|UV|V*|X|bC*|bC?,B1II-III,2024A&A...690A.176N,0.769999981,1.730000019,1.970000029,,2.109999895,2.349999905,2.529999971,2.619999886,2.650000095,,,,,,,,,,,,,,,,,,,,,,,,A,44743,30324,0.22,2294,,J06227-1757A,34590771,,,,54.076,0,0,0,0,6.62,0.22,,,,,-3.518,0.065,1.039,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017,0,0,0.017,,,,,,,,,,,,,,,,,,,0.523,,0.542,,0.017,,4200A,,2020NatAs...4.1164A,,0.017,4200A,,2020NatAs...4.1164A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RefStar,TRUE
129059,* bet Cas,CNS5 43|GJ 8|HIP 746|Gaia DR3 423018377034969216|2MASS J00091071+5908591|LSPM J0009+5908|ASCC  155033|USNO-B1.0 1491-00004186|PLX   16|* bet Cas|*  11 Cas|2E    20|ADS   107 A|AG+58   16|BD+58     3|CCDM J00092+5909A|CEL     30|CSI+58     3  1|Ci 20   10|FK5    2|GC   147|GCRV    69|GEN# +1.00000432|HD    432|HIC    746|HR    21|IDS 00038+5836 A|IRAS 00065+5852|IRC +60004|JP11   346|LFT   15|LHS  1027|LTT 10046|N30   17|NAME Caph|TIC 396298498|NLTT   389|PMC 90-93     2|PPM  25054|RAFGL   21|ROT    60|SAO  21133|SKY#   277|TD1    38|UBV      63|UBV M   7167|USNO-A2.0 1425-00225287|V* bet Cas|[HFE83]    5|PLX   16.00|1RXS J000910.1+590903|2E 0006.5+5851|WDS J00092+5909A|TYC 3664-1985-1|uvby98 100000432|WEB   125,2.294521578,59.1497811,2.8111384,2.7249324,90,A,2007A&A...474..653V,523.5,-179.77,0.32,0.32,0.31,0.31,0,A,2007A&A...474..653V,0.38,59.58,0.38,A,0.8,2007A&A...474..653V,4.3,0.8,2006AstL...32..759G,dS*,*|**|IR|NIR|PM*|UV|V*|X|dS*,F2III,2003AJ....126.2048G,2.730000019,2.609999895,2.269999981,2.232690096,1.970000029,1.769999981,1.629999995,1.429999948,1.440000057,,,0.007252,,,,,,,,,,,,0.007252,,,,,,,,,C,432,746,0.38,21,,J00092+5909A,396298498,,Gaia DR3 423018377034969216,,,,,,,59.58,0.38,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.20447,,,,,,,,,,,0.015,,,0.015,,1.967323,0.20447,3.0925992,0.00883177,9.56952,1.835882,,1.862646,,1.881784,,1.901315,,1.928858,1.928858,1.93461,,2.032,,2.103,,0.015,,550..850nm,,2017A&A...606L...1W,,0.015,550..850nm,,2017A&A...606L...1W,,2.299065428,3.0925992,59.14897576,,9.56952,,,,,,,,,,,,,,,2.232691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RefStar,TRUE
3510327,* alf Ara,HIP 85792|Gaia DR3 5949437149987478016|TIC 412724758|PLX 3969.1|[JE82]  899|* alf Ara|AAVSO 1724-49|CCDM J17318-4953A|CD-49 11511|CPC  0 16300|CPD-49 10052|CSI-49 11511 21|EM* MWC  261|FK5  651|GC 23708|GCRV 10116|GEN# +1.00158427A|GSC 08350-02600|HD 158427|HIC  85792|HR  6510|Hen 3-1417|IDS 17241-4948 A|IRAS 17279-4950|JP11  2859|N30 3898|NSV  8999|PPM 323069|ROT  2456|SAO 228069|SKY# 31640|TD1 20501|TYC 8350-2600-1|UBV M  22215|UBV   14909|V* alf Ara|[B10]  4431|uvby98 100158427 A|2MASS J17315049-4952341|ALS 15050|XMMSL1 J173149.8-495233|PLX 3969.10|WDS J17318-4953A|** HJ 4955A|AKARI-FIS-V1 J1731503-495235|WEB 14476|XMMSL2 J173150.8-495233,262.9603814,-49.87614501,0.73,0.36,90,A,2007A&A...474..653V,-33.27,-67.22,0.84,0.84,0.31,0.31,90,A,2007A&A...474..653V,0.85,12.2,0.85,A,,2007A&A...474..653V,0,,2007AN....328..889K,Be*,*|**|Be*|Em*|Er*|IR|NIR|UV|V*|X,B2Vne,2006MNRAS.371..252L,2.089999914,2.779999971,2.950000048,2.878020048,3.049999952,3.289999962,3.029999971,2.930000067,2.799999952,,,0.004234,,,,,,,,,,,,0.004234,,,,,,,,,B,158427,85792,0.85,6510,,J17318-4953A,412724758,,Gaia DR3 5949437149987478016,,20.297,6808.35,2877.59,253.81,17.7,12.2,0.85,,,,,-33.418,0.05,-66.809,0.041,-5.814,2.02,-1.688,1.571,2.37,0,,,,0.149,0.841,-0.184,0.311,,,,,,,0.064224,,,,,,,,,,,,6.35,0.32,,G00,0.683966,0.064224,0.6482989,0.198394,0.5993537,0.663424,,0.666295,,0.669908,,0.672691,,0.675988,0.677652,0.678669,,,,,,,,,,,,,,,,,262.9601503,0.6482989,-49.8764425,0.0004,0.5993537,0,,,,,,,,,,,,,,2.8780158,,,,,,,,,,,,,,,,,,,,,,,2025ApJS..276...15P,0.53206,0.0004,-8,0,2016MNRAS.455.1607C,,,,,,,,,,,,,,,,,,,,,RefStar,TRUE
3471875,* eta Cen,HIP 71352|TIC 128116539|[JE82]  735|* eta Cen|AAVSO 1429-41|CD-41  8917|CPC  0 12445|CPD-41  6839|EM* MWC  232|FK5  537|GC 19656|GCRV  8493|GEN# +1.00127972|GSC 07814-03706|HD 127972|HD 127973|HIC  71352|HR  5440|JP11  2516|N30 3301|PPM 319680|ROT  2088|SAO 225044|SKY# 26543|TD1 17567|TYC 7814-3706-1|UBV   12728|UBV M  20238|V* eta Cen|[B10]  3724|[CS62] E6  83|uvby98 100127972|2MASS J14353043-4209281|ALS 15000|EUVE J1435-42.2|IRAS 14323-4156|AKARI-IRC-V1 J1435304-420928|AKARI-FIS-V1 J1435303-420930|WEB 12321|Gaia DR2 6103094140452223872,218.8767673,-42.15782522,0.17,0.11,90,A,2007A&A...474..653V,-34.73,-32.72,0.23,0.23,0.18,0.18,0,A,2007A&A...474..653V,0.21,10.67,0.21,A,1.6,2007A&A...474..653V,0,1.6,2006AstL...32..759G,Be*,*|Be*|Em*|IR|NIR|UV|V*,B2Ve,2006MNRAS.371..252L,1.299999952,2.119999886,2.309999943,2.254699945,2.410000086,2.589999914,2.839999914,2.910000086,2.960000038,,,0.0159,,,,,,,,,,,,0.0159,,,,,,,,,B,127972,71352,0.21,5440,,,128116539,,,Gaia DR2 6103094140452223872,4.835,0,0,0,0,10.67,0.21,,,,,-35.319,0.057,-32.541,0.051,,,,,,,,,,,,,,,,,,,,0.059438,,,,,,,,,,,,0,0,,,0.587525,0.059438,,0.0858687,,0.569879,,0.572345,,0.575448,,0.577839,,0.580671,0.582101,0.582975,1.271529621,,1.138784805,,,,,,,,,,,,,,,,,0.00036,,0,,,,,,,,,,,,,,,,,218.8765603,,1.271529621,,-42.15796489,1.138784805,,,,,,,,,2.2546897,,,,,,2025ApJS..276...15P,0.624,0.00036,-8.2,0,2016MNRAS.455.1607C,,,,,,,,,,,,,,,,,,,,,RefStar,TRUE
1054564,* rho Pup,CNS5 2008|HIP 39757|Gaia DR3 5698015743046182272|TIC 154360594|* rho Pup|PLX 1930|*  15 Pup|2E  1920|CCDM J08075-2418A|CD-23  6828|CPD-23  3368|CSI-23  6828 21|CSV 100920|FK5  308|GC 11034|GCRV  5394|GEN# +1.00067523|HD  67523|HIC  39757|HR  3185|IDS 08033-2401 A|IRAS 08054-2409|IRC -20157|JP11  1629|N30 1871|PMC 90-93   225|PPM 253887|ROT  1301|SACS 176|SAO 175217|SKY# 15322|SRS  30308|TD1 11823|UBV    7771|UBV M  14003|V* rho Pup|YZ 114  5971|2MASS J08073264-2418154|PLX 1930.00|2E 0805.4-2409|1RXS J080732.2-241749|WDS J08075-2418A|TYC 6555-3245-1|Renson 18660|NAME Tureis|** RST 5284A|uvby98 100067523|WEB  7758|Gaia DR2 5698015743040715264,121.8860368,-24.30432443,0.06,0.07,90,A,2007A&A...474..653V,-82.886,46.93,0.183,0.183,0.225,0.225,90,A,2020yCat.1350....0G,0.2445,51.3999,0.2445,A,0.6,2020yCat.1350....0G,45.8,0.6,2006AstL...32..759G,dS*,*|**|IR|NIR|PM*|UV|V*|X|dS*,F5IIkF2IImF5II,2003AJ....126.2048G,3.430000067,3.24000001,2.809999943,2.750590086,2.460000038,2.25,2.099999905,1.980000019,1.899999976,,,0.003608,,,,,,,,,,,,0.003608,,,,,,,,,B,67523,39757,0.15,3185,0.281,J08075-2418A,154360594,,Gaia DR3 5698015743046182272,Gaia DR2 5698015743040715264,1.54,262.39,117.65,50.97,17.89,51.33,0.15,51.424,0.281,,,-83.495,0.018,46.643,0.016,2.137,0.925,1.733,0.817,2.23,0,-83.397,0.006,0.006,0.047,0.06,-0.498,0.07,5.4,1,-83.387,0.006,46.723,0.006,0.167906,0.503,0.183,0.174,0.225,1.83,0,49.07,26.75,70.94,24.87,,2.06,0.1,,G00,1.588167,0.167906,0.15947841,0.00967187,0.16401452,1.477809,0.18288307,1.501479,0.22467634,1.516929,0.2445377,1.532537,,1.555448,1.555448,1.560489,0.439529687,,0.387513141,,0.854925737,,0.755020486,,0.540625041,,3.167566274,,,,,,121.88563,0.15947841,-24.30411555,0.00058,0.16401452,9.7,-82.88573139,0.18288307,,46.92999525,,0.22467634,51.39988628,,0.2445377,,,,,2.7505891,,4.3845735,121.8856419,,0.439529687,,-24.30412258,0.387513141,-81.41266549,0.854925737,48.24232468,0.755020486,49.67593342,0.540625041,44.65772955,3.167566274,2.670022,,,,,,2025ApJS..276...15P,0.00183,0.00058,-68.5,9.7,2016MNRAS.455.1607C,,,,,,,,,,,,,,,,,,,,,RefStar,TRUE
