# Pitch Angle Table — 47 Uma
# Band: 1  |  Contrast: high
# Window 1: 2026-12-01 00:00:00.000 to 2027-01-03 00:00:00.000  (33.0 days)
# Values: pitch angle difference in degrees (NaN = solar-angle check failed)
#   * gam Peg: diameter = 0.3654 mas [st_uddv]
#   * zet Pup: diameter = 0.4100 mas [st_uddmeas]
#   * alf Col: diameter = 0.8111 mas [st_uddv]
#   * alf Cep: diameter = 1.3587 mas [st_uddv]
#   * del Cas: diameter = 1.1989 mas [st_uddv]
#   * alf Peg: diameter = 0.8636 mas [st_uddv]
date,* gam Peg,* zet Pup,* alf Col,* alf Cep,* del Cas,* alf Peg
2026-12-01,21.920,2.277,23.584,3.714,,6.193
2026-12-02,20.075,1.919,22.866,2.540,,4.376
2026-12-03,18.228,1.560,22.138,1.364,,2.558
2026-12-04,16.381,1.198,21.399,0.184,,0.740
2026-12-05,14.534,0.835,20.651,0.998,,1.078
2026-12-06,12.687,0.469,19.891,2.183,,2.896
2026-12-07,10.839,0.101,19.122,3.369,,4.714
2026-12-08,8.992,0.269,18.342,4.558,,6.531
2026-12-09,7.145,0.641,17.551,5.748,,8.348
2026-12-10,5.299,1.015,16.751,6.940,,10.164
2026-12-11,3.453,1.392,15.940,8.134,,11.980
2026-12-12,1.608,1.771,15.120,9.328,18.471,13.794
2026-12-13,0.236,2.152,14.289,10.523,17.156,15.608
2026-12-14,2.079,2.536,13.448,11.719,15.834,17.420
2026-12-15,3.920,2.923,12.597,12.916,14.503,19.230
2026-12-16,5.760,3.311,11.737,14.112,13.164,21.039
2026-12-17,7.599,3.703,10.867,15.309,11.818,22.846
2026-12-18,9.436,4.096,9.988,16.505,10.464,24.651
2026-12-19,11.270,4.493,9.100,17.700,9.105,26.453
2026-12-20,13.103,4.892,8.202,18.895,7.739,28.253
2026-12-21,14.933,5.293,7.296,20.089,6.367,30.051
2026-12-22,16.761,5.697,6.380,21.281,4.990,31.845
2026-12-23,18.586,6.104,5.457,22.472,3.608,33.637
2026-12-24,20.409,6.514,4.524,23.662,2.222,35.426
2026-12-25,22.228,6.926,3.584,24.849,0.831,37.211
2026-12-26,24.045,7.341,2.636,26.034,0.563,38.993
2026-12-27,25.858,7.758,1.680,27.216,1.961,40.772
2026-12-28,27.669,8.178,0.717,28.396,3.362,42.546
2026-12-29,29.475,8.601,0.254,29.573,4.765,44.316
2026-12-30,31.277,9.026,1.231,30.746,6.171,46.082
2026-12-31,33.076,9.454,2.215,31.916,7.578,47.844
2027-01-01,34.870,9.884,3.205,33.082,8.986,49.600
2027-01-02,36.660,10.316,4.200,34.243,10.396,51.352
2027-01-03,,,,,,
